token,symbol,name,tg,website,xurl,iconurl,minter
0x74ded13443829a08eb912f7a7f4f1a0f3906d387,PLOCK,PepuLock,https://t.me/pepulock,https://pepulock.com/,https://x.com/pepulock,https://i.ibb.co/sdnKS7rR/photo-2025-08-10-19-18-09.jpg,0x281FE213ea63c264b58601baa58b218A42a0D97A
0xd42fabf08d04d1eb5c69f770c6e049832b69d788,HoRa,HolderRadar,https://t.me/HolderRadar,https://holderradar.com/,https://x.com/PepuHolderRadar,https://i.ibb.co/dwdyZxpS/HoRA.png,0x010541066e9f54b80723c81b8c44f170db0e19df
0xd2f958f110861bc0f8e8b0ad23096b11e8ce9233,VCOTC,VentureOTC,https://t.me/VenturePEPUofficial/,,,https://i.ibb.co/0VX5ffCW/Banner-3-Token.png,0x97cc38a7aa6df2352830a3dd228047d5fac597fa
0xdbf01e762a4b9a093c662e7c16c3b5cddafb11c1,UPAY,UnchainedPay,https://t.me/UnchainedPay_Official,https://unchainedpay.xyz/,https://x.com/UnchainedPay,https://i.ibb.co/wZGwcLJd/1000001649.png,0xfd0626e1d02c9b9e8767f5520fa2771adbadc456
0x2a37c7ebf93164490583ca52226b5b2b06ffac5c,MAXP,MAXPEPUTHEHOOD,,,,https://i.ibb.co/bjTktnhV/images-1.jpg,0x588d359fc3fce713e593b9748f39fe6b98085001
0x8f71975e3cebaf0a857fd6575c1278963f5b79d7,PBC,PEPUBIT,https://t.me/pepeunchained,https://x.com/pepunchainedsup,https://x.com/pepunchainedsup,https://i.ibb.co/wNygSJRb/PEPBIT-2.jpg,0x04016b8643ea4b21e7196050e2eb304b8212a563
0x0599a045a7e94a32466a3e60b681085444a5a297,$FLUX,$FLUX,https://t.me/fluxpepu,https://pepuflux.site/,https://x.com/Flux_Pepu,https://i.ibb.co/SXxPJrvR/flux.png,0x8bdf50818a5f29fed41b6dab9c24ba48c63138aa
0xcf9053e1d84ec9a6c8d0eddd0d2ab234bdd4be63,$PR,PepuRAID,https://t.me/PepuRaider/1,https://pepeunchained.com/,https://x.com/PepuRAID,https://i.ibb.co/tp4qYK9N/OXTse-FMC-400x400.jpg,0x3c1eb8f7b327f6454759a4b0c8dc7afc47b67410
0xa10ef3c7aabce556e3cbc66f14ee30a8d5982255,$Rosie,$Rosie,https://t.me/Rosie_Playground,https://rosie-arcade.vercel.app/,https://x.com/Rosie_vxms,https://i.ibb.co/xKxstt2c/logo.jpg,0xb4f3d3b4bcc4e1663ab7df58432b40f6bc92db83
0x464ebbac83e40af620bfb19d113b993ded5f0540,SUPEPE,Superpepe,,https://superpepe.io,,https://i.ibb.co/JF8SKthY/superpepe.jpg,0xdde18593add8e42ecab0b13b04463fbb9fc3528a
0xb67fe4172eb4e1af1eeb6e4d8e96d5319c38d9e8,MBHORA,The Man Behind Hora,,,,https://i.ibb.co/sJ3xZ9bn/IMG-8443.jpg,0x32cbf2b55c996079637b481e40d6a2244eda40b8
0xc77e40977a04982a8c0810c396d1c75c9b016152,MUSEUM,Pepu Museum,https://t.me/pepu_museum,https://www.pepu-museum.site,https://x.com/pepu_museum,https://i.ibb.co/zhzpmvMm/7a2c0ef3-24be-4eed-b40a-3ce0cc460c60.png,0x09aad1e42d324fbd9a72f27593fe08164f35acfb
0x24e3035bd955539c92e7e87c147103c551730143,TLD,The Last Dwarfs,,https://thelastdwarfs.com,,https://i.ibb.co/pvbrVW1z/Download.jpg,0xdde18593add8e42ecab0b13b04463fbb9fc3528a
0x4cf14fb64b979eb7630a20c0b2cd1f1689ab098c,Stars,Crypto All Stars,,https://cryptoallstars.io,,https://i.ibb.co/Tspsg44/krypto-all-star.png,0xdde18593add8e42ecab0b13b04463fbb9fc3528a
0xd8fb7c5159d5d979842bf852449983bf50343c57,SUP,Stumble Upon Rumble,,https://media.metacade.co/partners/stumble-upon-rumble,,https://i.ibb.co/ZRCYhLrH/stumble-upon-rumble-resized-e9e4ebbfa4.png,0xdde18593add8e42ecab0b13b04463fbb9fc3528a
0xe420012ffc71e52670eb260e73a2b1c1f0b1974a,MCADE,MCade,,https://media.metacade.co,,https://i.ibb.co/twjzJXth/Screenshot-2025-03-03-113230-750x430.png,0xdde18593add8e42ecab0b13b04463fbb9fc3528a
0x5246014404af8dea27857551f099c231b7595681,JYAI,Jerry The Turtle by Matt Furie,,https://jerrytheturtle.com/,,https://i.ibb.co/BV9HXFSn/JERRYJYAI.webp,0x8ce613fcae0af78e0c73341cbf28a1aad3df8f4c
0x95cb78e321638073ba5c42c40ff8ff7344cd9187,SPARK,SPARK,,https://pump.fun/coin/5zCETicUCJqJ5Z3wbfFPZqtSpHPYqnggs1wX7ZRpump,https://x.com/KevinAFischer/status/1952521371134959800?t=ibE2dPp-iSbm77Tr76AnN,https://i.ibb.co/394nR9kh/spark.jpg,0xd928e15284c243db39e6bc063efaf457d45b9a71
0xfd298778e52f46a0246bef32215c5e2ce2362a6f,IBIZA FINAL BOSS,Jack Kay,,https://www.independent.co.uk/life-style/ibiza-final-boss-jack-kay-b2803651.html,,https://i.ibb.co/v6Zmsvjy/1000269770.jpg,0xed2f7eaf9b513e26f4e2296e968c5c96c5b86bcf
0xaeb1be6216c0349ade28864aa8dccb1356f2a6a2,Pepu-finzo,finzo digital,,https://finzo.digital/,https://x.com/Finzo_Digital,https://i.ibb.co/274bJYTM/f111112.png,0x253c6b0566b76fdaeddb5b609b0ed10a48b8467b
0x901db3533a321e64f3da4468138935ed01e19345,PSTARS,PepuStars,,www.pepustars.com,,https://i.ibb.co/B28t0vrY/l-1.png,0xd1989b68a3b33d0b4f339a7ef786fac54912fc1e
0x28dd14d951cc1b9ff32bdc27dcc7da04fbfe3af6,$SPRING,Springfield,https://t.me/PenkSpring,https://www.pepu-springfield.com/,https://x.com/PEPUSpring2025,https://i.ibb.co/RkSwQvPy/photo-6001102308437511107-y.jpg,0x23d26298248ffcc71f49849fa0beb8e30a2bde6c
0x1af6790033a85e9f4cff43bbebb980e6138794a1,MAFIA,penk MAFIA,,,,https://i.ibb.co/sdk4YkQg/344831-D0-0-D6-C-458-D-A271-59681-C595-E89.jpg,0xfbf7bb09720ef967129a46c1e98762050552810b
0x4d413d5a73a524e4096d84b2cf7cb813a8333393,WUF,Wuffy,,,,https://i.ibb.co/ZRHsVgxk/c074a90c-116f-4c1c-ae84-3c6de142f53e.png,0x2f4f0fa9201a4f36044dc6d27de29b8dc4ad5bef
0x8931e6c0bf358d125d00017e142e3056f955db4a,BONK,Bonk,,https://bonkcoin.com/,,https://i.ibb.co/yFBBQZyc/bonk.png,0x2f4f0fa9201a4f36044dc6d27de29b8dc4ad5bef
0xdf86fb3b85b5306eb4b1d7c5d2d50800074673ea,HTP,HideThePainHarold,https://,https://hidethepainharold.com/,https://,https://i.ibb.co/rftCsNJR/E9-ORF9f-Xs-AQzh-Vv.jpg,0x97cc38a7aa6df2352830a3dd228047d5fac597fa
0x0fd9e986bfbb0724984e8da87e45e9ebb2f4d7c8,$KURO,Kuromi,,,,https://i.ibb.co/7NdV1ccd/Sin-t-tulo.png,0xb1a8f8f34b8754a5db4a02b5dcb35ec9223c1324
0x421402ffc649d2ba0f2655c42bcd1e7dcc6f3970,FINPEPE,Finnish Pepe,https://t.me/finnish_pepe,https://finpepe.com/,https://x.com/finpepee?s=21,https://i.ibb.co/xqYRF7DS/IMG-6344.jpg,0x8173c277af38e53c44b3edeb0d0ceaf15a54d9bf
0x910c1acdbefc866f2cb2c482e044582e44395152,Booost,Bobby Booost,https://t.me/PepuBobbyBooost,,https://x.com/PepuBobbyBooost,https://i.ibb.co/zhF5LhbV/od4yy-KWS-400x400.jpg,0x865fff8c6ff75607c2c051411ad88bedc28f9136
0x583f86b8bbc57ce57cfe49b1105befac41aaaa73,$PMG,PMG,https://t.me/PEPUMEMEGENERATOR,https://pepumemegenerator.fun/,,https://i.ibb.co/Q77mVbsc/PMG.png,0xcfcb7a2e6b9d7e6c190c3b9bb2e36e9802651592
0x3b9a441472c1965214e4e574875773b486c41172,PAN,Peap Ascencion,,https://pepeascension.com,https://t.me/pepe_ascension_portal,https://i.ibb.co/zWv0tkdW/0fd99f9a2470937913049c1cb39399f9.png,0xdde18593add8e42ecab0b13b04463fbb9fc3528a
0x80ac79209549f2d7ca1f1e52f730113ef56d6ff6,WWP,WINWINPAY,https://wpyli.com/Y3Jpc3Rp,https://wpyli.com/Y3Jpc3Rp,https://wpyli.com/Y3Jpc3Rp,https://i.ibb.co/ksppBLkG/wwp.jpg,0x04016b8643ea4b21e7196050e2eb304b8212a563
0xa2349a7930fa3b3b53e02316989182bd6ed53775,PHR,Pepe Heimer,https://t.me/pepeheimerofficial,https://pepeheimer.io,https://x.com/heimer_the_pepe,https://i.ibb.co/Q758NP1G/oxqq-C2nt-400x400.jpg,0xdde18593add8e42ecab0b13b04463fbb9fc3528a
0xefd166899b74e86775f3d07112de50cb81cdcc55,CORN,Popcorn Games,,,,https://i.ibb.co/DgvCZc1h/IMG-4833.jpg,0x2fff69d7b1e048d5fcc835e77d7d443e6a1c03f5
0xaf94671b85cd02303df344e2150505656fc70b4a,PMC,Pepu's Magic Casino,,https://magicbetting.be/,https://x.com/PepusMC,https://i.ibb.co/ks7WqK8h/94a5bef9-9f97-4540-ba03-dd082c14e699.png,0x4117aeb4e8beeb7dfe37af6a0ccfc526ec2ba2f6
0xa4e166dcc86ec754eaa4a49b557b319fe51de988,$SHILL,SHILL,,https://www.coinshillers.com/,https://x.com/CoinShillers?t=5qJgChMqtU-ofIled0CG-Q&s=09,https://i.ibb.co/yBWHGSqX/1000127361.png,0xf8e8cf6d5c860ba0430bfcf52d589b9eadc210eb
0x5103a59049636dcc123a8dec7c5bab96ead9c2d0,SNIPED,Sniper,,,,https://i.ibb.co/TBK9q0vv/sniper.jpg,0x2487c48205b2dc07cddd0b2b67bf105384c4c22f
0xc60a507756f5e092c36c858a2a7703f120630a23,MIA,Mia Ai,https://t.me/mia_ai_chat,http://miaai.fun/,https://x.com/MiaLovesAi,https://i.ibb.co/mVr3Wvb3/freepik-a-digital-painting-of-a-caucasian-woman-around-21-95395.png,0x08f5578b42c6b78190d33f50cad85a14a10185a9
0xa1613e97d55ea16f4f5359139e5d9e550f0d73a0,PEPJ,PEPUJESUS,https://t.me/+WhD_O7NUKtUyYzg1,,,https://i.ibb.co/5WRJG7qX/IMG-3358.jpg,0xbc70638c485d2aa9c07277eacf15ae9d0b506941
0xe8f1d533ce13463ac4d208568b24d2c5af9b0db7,BRO,Brodo Beats,https://t.me/de_album,https://youtube.com/@de-album?si=mvil-mmnbMothmdi,https://x.com/dealbum_?s=21,https://i.ibb.co/1wNN9R4/869908-D9-2197-474-B-92-AE-C25-F356-B80-FB.jpg,0x4b912919e19f37f01fe9e72afceb1d215c06f220
0xac1ed1b1ea9e816e02380c4f5dd9c40b0bdf9f7b,$PMG,Pepu Meme Generator,,https://pepumemegenerator.fun/,,https://i.ibb.co/ynxH2K6b/PMG.png,0xb1a8f8f34b8754a5db4a02b5dcb35ec9223c1324
0x29377129e4c8a91563e11adefd69bd791d6f6116,HPP,$HELPPEPE,https://t.me/HELPPEPE,,,https://i.ibb.co/1G9r1RBn/Pepe-mit-Megaphon-und-Logo.png,0xdd37b94e9a8ad0f058d73c9e71742cc79f6e6a8e
